,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
cluster_probabilities[0],0.005,0,0.005,0.006,0,0,1033,1068,NaN
cluster_probabilities[1],0.007,0,0.007,0.008,0,0,913,936,NaN
cluster_probabilities[2],0.002,0,0.001,0.002,0,0,1007,924,NaN
cluster_probabilities[3],0.002,0,0.001,0.002,0,0,859,903,NaN
cluster_probabilities[4],0.001,0,0.001,0.001,0,0,949,901,NaN
cluster_probabilities[5],0.001,0,0.001,0.001,0,0,995,849,NaN
cluster_probabilities[6],0.002,0,0.002,0.002,0,0,1081,940,NaN
cluster_probabilities[7],0.004,0,0.004,0.004,0,0,899,843,NaN
cluster_probabilities[8],0.01,0.001,0.009,0.012,0,0,1059,981,NaN
cluster_probabilities[9],0.002,0,0.001,0.002,0,0,1082,1022,NaN
cluster_probabilities[10],0.004,0,0.003,0.004,0,0,975,981,NaN
cluster_probabilities[11],0.001,0,0.001,0.001,0,0,1039,951,NaN
cluster_probabilities[12],0.001,0,0.001,0.001,0,0,1124,1015,NaN
cluster_probabilities[13],0.783,0.001,0.782,0.784,0,0,937,983,NaN
cluster_probabilities[14],0.003,0,0.003,0.003,0,0,1037,859,NaN
cluster_probabilities[15],0.011,0.001,0.01,0.012,0,0,1142,1062,NaN
cluster_probabilities[16],0.011,0,0.01,0.011,0,0,991,975,NaN
cluster_probabilities[17],0.002,0,0.002,0.002,0,0,973,936,NaN
cluster_probabilities[18],0.006,0,0.006,0.006,0,0,982,912,NaN
cluster_probabilities[19],0.024,0.001,0.023,0.026,0,0,792,881,NaN
cluster_probabilities[20],0.001,0,0.001,0.002,0,0,971,901,NaN
cluster_probabilities[21],0.009,0,0.009,0.01,0,0,1052,942,NaN
cluster_probabilities[22],0.012,0,0.011,0.013,0,0,959,865,NaN
cluster_probabilities[23],0.041,0.001,0.04,0.042,0,0,944,983,NaN
cluster_probabilities[24],0.018,0,0.017,0.018,0,0,928,933,NaN
cluster_probabilities[25],0.003,0,0.003,0.004,0,0,1003,907,NaN
cluster_probabilities[26],0.008,0,0.007,0.009,0,0,878,741,NaN
cluster_probabilities[27],0.004,0,0.004,0.004,0,0,1047,780,NaN
cluster_probabilities[28],0.008,0,0.007,0.008,0,0,917,721,NaN
cluster_probabilities[29],0.003,0,0.003,0.004,0,0,902,972,NaN
cluster_probabilities[30],0.011,0,0.01,0.011,0,0,963,941,NaN
cluster_probabilities[31],0,0,0,0,0,0,1021,820,NaN
cluster_probabilities[32],0.001,0,0.001,0.001,0,0,993,909,NaN