,phi,SVI_coverage,NUTS_coverage,,,
0,0.010421,0.93,0.92,,,
1,0.0123,0.94125,0.9375,,,
2,0.012852,0.93375,0.9325,,,
3,0.014606,0.8325,0.925,,,
4,0.016258,0.9175,0.945,,,
5,0.021298,0.89125,0.905,,,
6,0.023557,0.9475,0.94625,,,
7,0.02711,0.90875,0.90875,,,
8,0.027333,0.91875,0.9,,,
9,0.029502,0.93,0.93125,,,
10,0.029515,0.84375,0.9675,,,
11,0.030267,0.95125,0.94875,,,
12,0.032295,0.93625,0.95125,,,
13,0.034398,0.9375,0.93625,,,
14,0.035671,0.9125,0.90375,,,
15,0.03578,0.965,0.96875,,,
16,0.037513,0.92375,0.93875,,,
17,0.042592,0.92875,0.95375,,,
18,0.043422,0.925,0.935,,,
19,0.044185,0.95375,0.93625,,,
20,0.04782,0.93625,0.94125,,,
21,0.048265,0.95875,0.9575,,,
22,0.0517,0.91875,0.935,,,
23,0.052056,0.9275,0.9275,,,
24,0.055967,0.94125,0.93125,,,
25,0.056305,0.8825,0.925,,,
26,0.056502,0.9475,0.92375,,,
27,0.056969,0.94875,0.955,,,
28,0.059207,0.93625,0.9375,,,
29,0.063553,0.9325,0.92125,,,
30,0.06419,0.94,0.925,,,
31,0.066961,0.93,0.9475,,,
32,0.068902,0.9325,0.92125,,,
33,0.071001,0.9075,0.905,,,
34,0.075209,0.9325,0.93875,,,
35,0.079622,0.92375,0.91875,,,
36,0.080976,0.93125,0.925,,,
37,0.083482,0.90625,0.92,,,
38,0.087282,0.9175,0.9375,,,
39,0.087606,0.9175,0.94125,,,
40,0.098929,0.92125,0.91375,,,
41,0.099755,0.9125,0.9225,,,
42,0.108148,0.9375,0.95,,,
43,0.109637,0.93375,0.9375,,,
44,0.118053,0.90125,0.9375,,,
45,0.118087,0.93125,0.9375,,,
46,0.133027,0.92625,0.9125,,,
47,0.155452,0.88625,0.90375,,,
48,0.182193,0.91,0.9275,,,
49,0.262378,0.915,0.92875,,,
50,0.482244,0.9325,0.94875,,,
51,0.533113,0.9075,0.90625,,,
52,0.578245,0.89125,0.93125,,,
53,0.590124,0.9025,0.925,,,
54,0.712705,0.8775,0.91,,,
55,0.780654,0.91875,0.935,,,
56,0.841719,0.90125,0.91625,,,
57,0.843223,0.88625,0.9325,,,
58,0.896372,0.88875,0.92875,,,
59,0.912855,0.875,0.9075,,,