phi,SVI_coverage
0.010421,0.96125
0.0123,0.9675
0.012852,0.95875
0.014606,0.89
0.016258,0.9425
0.021298,0.92125
0.023557,0.9525
0.02711,0.92625
0.027333,0.9225
0.029502,0.93375
0.029515,0.89125
0.030267,0.94
0.032295,0.95125
0.034398,0.96125
0.035671,0.90375
0.03578,0.94375
0.037513,0.9075
0.042592,0.93875
0.043422,0.89625
0.044185,0.95
0.04782,0.9275
0.048265,0.90625
0.0517,0.95
0.052056,0.92875
0.055967,0.9375
0.056305,0.92875
0.056502,0.95375
0.056969,0.9475
0.059207,0.88875
0.063553,0.94375
0.06419,0.95875
0.066961,0.90125
0.068902,0.92875
0.071001,0.89625
0.075209,0.89375
0.079622,0.92875
0.080976,0.94125
0.083482,0.88
0.087282,0.88875
0.087606,0.88875
0.098929,0.9225
0.099755,0.92625
0.108148,0.88875
0.109637,0.89125
0.118053,0.87625
0.118087,0.94
0.133027,0.93125
0.155452,0.875
0.182193,0.9125
0.262378,0.90375
0.482244,0.90625
0.533113,0.89875
0.578245,0.9075
0.590124,0.915
0.712705,0.87125
0.780654,0.875
0.841719,0.9325
0.843223,0.905
0.896372,0.88625
0.912855,0.90125